year,state_abbr,state_name,population,violent_crime,"violent crimes per 100,000 people",homicide,"homicides per 100,000 people ",rape_legacy,"rapes legacy per 100,000 people",rape_revised,"rapes revised per 100,000 people",robbery,"robberies per 100,000 people",aggravated_assault,"aggravated assaults per 100,000 people",property_crime,"property crimes per 100,000 people",burglary,"burglaries per 100,000 people",larceny,"larcenies per 100,000 people",motor_vehicle_theft,"motor vehicle theft per 100,000 people",caveats,
1979,,,220099000,1208030,548.86,21460,9.75,76390,34.71,,0,480700,218.40,629480,286.00,11041500,5016.61,3327700,1511.91,6601000,2999.10,1112800,505.59,,
1979,AK,Alaska,406000,1994,491.13,54,13.30,292,71.92,,0,445,109.61,1203,296.31,23193,5712.56,5616,1383.25,15076,3713.30,2501,616.01,,
1979,AL,Alabama,3769000,15578,413.32,496,13.16,1037,27.51,,0,4127,109.50,9918,263.15,144372,3830.51,48517,1287.26,83791,2223.16,12064,320.08,,
1979,AR,Arkansas,2180000,7984,366.24,198,9.08,595,27.29,,0,1626,74.59,5565,255.28,70949,3254.54,21457,984.27,45267,2076.47,4225,193.81,,
1979,AZ,Arizona,2450000,14528,592.98,219,8.94,1120,45.71,,0,4305,175.71,8884,362.61,177977,7264.37,48916,1996.57,116976,4774.53,12085,493.27,,
1979,CA,California,22696000,184087,811.10,2952,13.01,12239,53.93,,0,75767,333.83,93129,410.33,1511021,6657.65,496310,2186.77,847148,3732.59,167563,738.29,,
1979,CO,Colorado,2772000,14472,522.08,161,5.81,1472,53.10,,0,4353,157.03,8486,306.13,180984,6529.00,49741,1794.41,117898,4253.17,13345,481.42,,
1979,CT,Connecticut,3115000,12902,414.19,131,4.21,752,24.14,,0,6021,193.29,5998,192.55,167131,5365.36,48229,1548.28,96997,3113.87,21905,703.21,,
1979,DC,District of Columbia,656000,10553,1608.69,180,27.44,489,74.54,,0,6920,1054.88,2964,451.83,45877,6993.45,13452,2050.61,28819,4393.14,3606,549.70,,
1979,DE,Delaware,582000,3127,537.29,33,5.67,162,27.84,,0,753,129.38,2179,374.40,34853,5988.49,8890,1527.49,23081,3965.81,2882,495.19,,
1979,FL,Florida,8860000,73881,833.87,1084,12.23,4576,51.65,,0,22097,249.40,46124,520.59,607281,6854.19,190884,2154.45,378099,4267.48,38298,432.26,,
1979,GA,Georgia,5118000,28594,558.69,877,17.14,2216,43.30,,0,10939,213.74,14562,284.53,248641,4858.17,81579,1593.96,145758,2847.95,21304,416.26,,
1979,HI,Hawaii,915000,2651,289.73,66,7.21,296,32.35,,0,1688,184.48,601,65.68,63664,6957.81,16538,1807.43,40580,4434.97,6546,715.41,,
1979,IA,Iowa,2903000,5259,181.16,65,2.24,320,11.02,,0,1457,50.19,3417,117.71,119620,4120.56,26768,922.08,85023,2928.80,7829,269.69,,
1979,ID,Idaho,905000,2613,288.73,49,5.41,186,20.55,,0,392,43.31,1986,219.45,35766,3952.04,9729,1075.03,23577,2605.19,2460,271.82,,
1979,IL,Illinois,11230000,83540,743.90,1203,10.71,3702,32.97,,0,36056,321.07,42579,379.15,593750,5287.18,161776,1440.57,356062,3170.63,75912,675.98,,
1979,IN,Indiana,5400000,18254,338.04,448,8.30,1681,31.13,,0,7167,132.72,8958,165.89,230223,4263.39,63176,1169.93,143666,2660.48,23381,432.98,,
1979,KS,Kansas,2369000,8376,353.57,130,5.49,626,26.42,,0,2423,102.28,5197,219.38,107605,4542.21,31504,1329.84,69622,2938.88,6479,273.49,,
1979,KY,Kentucky,3527000,8748,248.03,335,9.50,719,20.39,,0,3247,92.06,4447,126.08,103548,2935.87,32082,909.61,62431,1770.09,9035,256.17,,
1979,LA,Louisiana,4026000,27229,676.33,682,16.94,1554,38.60,,0,8832,219.37,16161,401.42,188514,4682.41,56237,1396.85,115856,2877.69,16421,407.87,,
1979,MA,Massachusetts,5769000,30650,531.29,212,3.67,1428,24.75,,0,11724,203.22,17286,299.64,310756,5386.65,92570,1604.61,152135,2637.11,66051,1144.93,,
1979,MD,Maryland,4149000,33007,795.54,406,9.79,1636,39.43,,0,13740,331.16,17225,415.16,228159,5499.13,62630,1509.52,145297,3501.98,20232,487.64,,
1979,ME,Maine,1097000,2221,202.46,31,2.83,131,11.94,,0,349,31.81,1710,155.88,45030,4104.83,12592,1147.86,29828,2719.05,2610,237.92,,
1979,MI,Michigan,9208000,56558,614.23,834,9.06,4100,44.53,,0,20218,219.57,31406,341.07,509457,5532.76,138806,1507.45,315211,3423.23,55440,602.09,,
1979,MN,Minnesota,4060000,8973,221.01,93,2.29,871,21.45,,0,3754,92.46,4255,104.80,169376,4171.82,45183,1112.88,110827,2729.73,13366,329.21,,
1979,MO,Missouri,4868000,25662,527.16,543,11.15,1638,33.65,,0,10267,210.91,13214,271.45,214809,4412.67,70423,1446.65,124398,2555.42,19988,410.60,,
1979,MT,Montana,786000,1762,224.17,33,4.20,162,20.61,,0,260,33.08,1307,166.28,33298,4236.39,6314,803.31,24537,3121.76,2447,311.32,,
1979,NC,North Carolina,5606000,25009,446.11,600,10.70,1137,20.28,,0,4327,77.19,18945,337.94,220113,3926.38,72687,1296.59,134903,2406.40,12523,223.39,,
1979,ND,North Dakota,657000,403,61.34,10,1.52,54,8.22,,0,65,9.89,274,41.70,17703,2694.52,3029,461.04,13607,2071.08,1067,162.40,,
1979,NE,Nebraska,1574000,3556,225.92,65,4.13,338,21.47,,0,1157,73.51,1996,126.81,59295,3767.15,12804,813.47,42195,2680.75,4296,272.94,,
1979,NH,New Hampshire,887000,1241,139.91,21,2.37,152,17.14,,0,254,28.64,814,91.77,39373,4438.90,10635,1198.99,25856,2914.99,2882,324.92,,
1979,NJ,New Jersey,7332000,36747,501.19,484,6.60,2037,27.78,,0,18332,250.03,15894,216.78,390018,5319.39,117421,1601.49,221552,3021.71,51045,696.19,,
1979,NM,New Mexico,1241000,7272,585.98,154,12.41,582,46.90,,0,1502,121.03,5034,405.64,64563,5202.50,18385,1481.47,41745,3363.82,4433,357.21,,
1979,NV,Nevada,702000,5866,835.61,123,17.52,418,59.54,,0,2861,407.55,2464,351.00,56132,7996.01,19799,2820.37,31388,4471.23,4945,704.42,,
1979,NY,New York,17649000,161906,917.37,2092,11.85,5394,30.56,,0,93471,529.61,60949,345.34,933234,5287.74,308302,1746.85,500589,2836.36,124343,704.53,,
1979,OH,Ohio,10731000,49092,457.48,865,8.06,3409,31.77,,0,20909,194.85,23909,222.80,501389,4672.34,138128,1287.19,316162,2946.25,47099,438.91,,
1979,OK,Oklahoma,2892000,11719,405.22,281,9.72,953,32.95,,0,2966,102.56,7519,259.99,124293,4297.82,42646,1474.62,69292,2395.99,12355,427.21,,
1979,OR,Oregon,2527000,13781,545.35,107,4.23,1121,44.36,,0,3299,130.55,9254,366.20,147264,5827.62,40682,1609.89,96823,3831.54,9759,386.19,,
1979,PA,Pennsylvania,11731000,39133,333.59,724,6.17,2533,21.59,,0,17855,152.20,18021,153.62,370914,3161.83,109668,934.86,215567,1837.58,45679,389.39,,
1979,RI,Rhode Island,929000,3485,375.13,30,3.23,141,15.18,,0,1019,109.69,2295,247.04,50114,5394.40,14400,1550.05,28347,3051.35,7367,793.00,,
1979,SC,South Carolina,2932000,19889,678.34,368,12.55,1006,34.31,,0,3156,107.64,15359,523.84,128651,4387.82,44160,1506.14,75807,2585.50,8684,296.18,,
1979,SD,South Dakota,689000,1096,159.07,14,2.03,113,16.40,,0,140,20.32,829,120.32,19297,2800.73,4316,626.42,13782,2000.29,1199,174.02,,
1979,TN,Tennessee,4380000,18135,414.04,430,9.82,1511,34.50,,0,7277,166.14,8917,203.58,157651,3599.34,56710,1294.75,84850,1937.21,16091,367.37,,
1979,TX,Texas,13385000,67988,507.94,2235,16.70,6043,45.15,,0,25667,191.76,34043,254.34,725109,5417.33,239758,1791.24,412515,3081.92,72836,544.16,,
1979,UT,Utah,1367000,4158,304.17,66,4.83,381,27.87,,0,1062,77.69,2649,193.78,70918,5187.86,16115,1178.86,50216,3673.45,4587,335.55,,
1979,VA,Virginia,5197000,15642,300.98,447,8.60,1407,27.07,,0,5799,111.58,7989,153.72,211014,4060.30,56265,1082.64,141923,2730.86,12826,246.80,,
1979,VT,Vermont,493000,908,184.18,7,1.42,113,22.92,,0,141,28.60,647,131.24,25217,5115.01,7779,1577.89,15776,3200.00,1662,337.12,,
1979,WA,Washington,3926000,17064,434.64,187,4.76,1821,46.38,,0,4739,120.71,10317,262.79,239285,6094.88,70024,1783.60,152204,3876.82,17057,434.46,,
1979,WI,Wisconsin,4720000,7839,166.08,160,3.39,758,16.06,,0,2857,60.53,4064,86.10,199273,4221.89,44806,949.28,141880,3005.93,12587,266.67,,
1979,WV,West Virginia,1878000,3156,168.05,128,6.82,291,15.50,,0,825,43.93,1912,101.81,40513,2157.24,11959,636.79,24755,1318.16,3799,202.29,,
1979,WY,Wyoming,450000,1579,350.89,41,9.11,124,27.56,,0,190,42.22,1224,272.00,20129,4473.11,3887,863.78,14607,3246.00,1635,363.33,,
1980,,,225349264,1344520,596.64,23040,10.22,82990,36.83,,0,565840,251.09,672650,298.49,12063700,5353.33,3795200,1684.14,7136900,3167.04,1131700,502.20,,
1980,AK,Alaska,440142,1919,436.00,39,8.86,250,56.80,,0,360,81.79,1270,288.54,22930,5209.68,5545,1259.82,14916,3388.91,2469,560.96,,
1980,AL,Alabama,3861466,17320,448.53,509,13.18,1158,29.99,,0,5102,132.13,10551,273.24,173191,4485.11,58952,1526.67,102029,2642.23,12210,316.20,,
1980,AR,Arkansas,2284037,7656,335.20,210,9.19,609,26.66,,0,1848,80.91,4989,218.43,79390,3475.86,25559,1119.03,49558,2169.75,4273,187.08,,
1980,AZ,Arizona,2715357,17673,650.85,279,10.27,1227,45.19,,0,5258,193.64,10909,401.75,204193,7519.93,58527,2155.41,132814,4891.22,12852,473.31,,
1980,CA,California,23532680,210290,893.61,3411,14.49,13693,58.19,,0,90420,384.23,102766,436.69,1633042,6939.46,545138,2316.51,913070,3880.01,174834,742.94,,
1980,CO,Colorado,2878407,15215,528.59,198,6.88,1510,52.46,,0,4608,160.09,8899,309.16,195872,6804.88,58455,2030.81,124514,4325.80,12903,448.27,,
1980,CT,Connecticut,3095224,12768,412.51,146,4.72,670,21.65,,0,6749,218.05,5203,168.10,169283,5469.17,52638,1700.62,95631,3089.63,21014,678.92,,
1980,DC,District of Columbia,635233,12772,2010.60,200,31.48,439,69.11,,0,8897,1400.59,3236,509.42,50896,8012.18,16260,2559.69,31068,4890.80,3568,561.68,,
1980,DE,Delaware,594779,2824,474.80,41,6.89,144,24.21,,0,815,137.03,1824,306.67,37482,6301.84,9698,1630.52,25077,4216.19,2707,455.13,,
1980,FL,Florida,9567112,94095,983.53,1387,14.50,5439,56.85,,0,34015,355.54,53254,556.64,709730,7418.44,239825,2506.76,424223,4434.18,45682,477.49,,
1980,GA,Georgia,5400851,29993,555.34,743,13.76,2391,44.27,,0,10670,197.56,16189,299.75,272652,5048.32,91773,1699.23,160764,2976.64,20115,372.44,,
1980,HI,Hawaii,964680,2889,299.48,84,8.71,335,34.73,,0,1835,190.22,635,65.82,69291,7182.80,17822,1847.45,45564,4723.22,5905,612.12,,
1980,IA,Iowa,2907804,5826,200.36,63,2.17,416,14.31,,0,1596,54.89,3751,129.00,132200,4546.39,31390,1079.51,93605,3219.10,7205,247.78,,
1980,ID,Idaho,943629,2957,313.36,29,3.07,211,22.36,,0,442,46.84,2275,241.09,42169,4468.81,11691,1238.94,28243,2993.02,2235,236.85,,
1980,IL,Illinois,11355062,91753,808.04,1205,10.61,3950,34.79,,0,41675,367.02,44923,395.62,620107,5461.06,177099,1559.65,369319,3252.46,73689,648.95,,
1980,IN,Indiana,5461103,20633,377.82,485,8.88,1808,33.11,,0,7720,141.36,10620,194.47,248619,4552.54,71720,1313.29,153297,2807.07,23602,432.18,,
1980,KS,Kansas,2354783,9168,389.34,163,6.92,742,31.51,,0,2664,113.13,5599,237.77,117492,4989.50,35826,1521.41,75268,3196.39,6398,271.70,,
1980,KY,Kentucky,3641479,9711,266.68,321,8.82,698,19.17,,0,3468,95.24,5224,143.46,115328,3167.06,37901,1040.81,68296,1875.50,9131,250.75,,
1980,LA,Louisiana,4199542,27926,664.98,661,15.74,1867,44.46,,0,8271,196.95,17127,407.83,201106,4788.76,63997,1523.90,121298,2888.36,15811,376.49,,
1980,MA,Massachusetts,5728288,34444,601.30,232,4.05,1562,27.27,,0,13492,235.53,19158,334.45,313787,5477.85,99697,1740.43,153849,2685.78,60241,1051.64,,
1980,MD,Maryland,4192211,35735,852.41,399,9.52,1681,40.10,,0,16461,392.66,17194,410.14,242214,5777.71,71183,1697.98,152144,3629.21,18887,450.53,,
1980,ME,Maine,1123670,2173,193.38,32,2.85,145,12.90,,0,346,30.79,1650,146.84,46904,4174.18,13291,1182.82,31151,2772.26,2462,219.10,,
1980,MI,Michigan,9228128,59014,639.50,940,10.19,4304,46.64,,0,22519,244.03,31251,338.65,557051,6036.45,160688,1741.28,342384,3710.22,53979,584.94,,
1980,MN,Minnesota,4061235,9250,227.76,106,2.61,942,23.19,,0,4025,99.11,4177,102.85,185668,4571.71,50602,1245.98,123050,3029.87,12016,295.87,,
1980,MO,Missouri,4901288,27177,554.49,544,11.10,1600,32.64,,0,10958,223.57,14075,287.17,239115,4878.62,81798,1668.91,136998,2795.14,20319,414.56,,
1980,MT,Montana,781592,1740,222.62,31,3.97,164,20.98,,0,266,34.03,1279,163.64,37531,4801.87,7430,950.62,27587,3529.59,2514,321.65,,
1980,NC,North Carolina,5843665,26589,455.01,619,10.59,1324,22.66,,0,4810,82.31,19836,339.44,244585,4185.47,83150,1422.91,148804,2546.42,12631,216.15,,
1980,ND,North Dakota,652437,352,53.95,8,1.23,62,9.50,,0,50,7.66,232,35.56,18984,2909.71,3186,488.32,14629,2242.21,1169,179.17,,
1980,NE,Nebraska,1563921,3512,224.56,69,4.41,363,23.21,,0,1286,82.23,1794,114.71,63818,4080.64,14316,915.39,45692,2921.63,3810,243.62,,
1980,NH,New Hampshire,919114,1653,179.85,23,2.50,159,17.30,,0,386,42.00,1085,118.05,41358,4499.77,12067,1312.89,26443,2877.01,2848,309.86,,
1980,NJ,New Jersey,7342164,44373,604.36,504,6.86,2257,30.74,,0,22299,303.71,19313,263.04,425623,5796.97,137900,1878.19,234160,3189.25,53563,729.53,,
1980,NM,New Mexico,1295474,7967,614.99,170,13.12,561,43.30,,0,1657,127.91,5579,430.65,69490,5364.06,19335,1492.50,45613,3520.95,4542,350.61,,
1980,NV,Nevada,800312,7304,912.64,160,19.99,538,67.22,,0,3686,460.57,2920,364.86,63556,7941.40,23263,2906.74,34864,4356.30,5429,678.36,,
1980,NY,New York,17506690,180235,1029.52,2228,12.73,5405,30.87,,0,112273,641.31,60329,344.61,1029749,5882.03,360925,2061.64,535783,3060.45,133041,759.94,,
1980,OH,Ohio,10766808,53646,498.25,871,8.09,3696,34.33,,0,24082,223.67,24997,232.17,531141,4933.13,157874,1466.30,327322,3040.10,45945,426.73,,
